feature,rf_importance,xgb_importance
domain_length,0.235268105,0.14277084
dot_count,0.145489758,0.1932582
digit_ratio,0.109024955,0.07605467
url_length,0.098095723,0.06175148
special_char_count,0.065109169,0.08155438
has_urgency_keyword,0.058992429,0.07714938
has_verify_keyword,0.048241231,0.021604005
subdomain_count,0.032623064,0.02642767
hyphen_count,0.032000869,0.017614236
query_param_count,0.031077442,0.030236201
tld_suspicious,0.025268926,0.039937533
homograph_count,0.017792246,0.028712358
has_at_symbol,0.016930093,0.039933093
has_redirect,0.016265081,0.024007503
has_login_keyword,0.012899737,0.000822004
has_unicode,0.012737392,0.011055167
has_homograph_chars,0.012261207,0.040154282
domain_contains_brand,0.011436199,0.07705975
has_ip_address,0.009769822,0.00761016
has_update_keyword,0.006435656,0.001388416
has_double_slash,0.001783037,0
has_secure_keyword,0.00014959,0.000546339
path_depth,0.000134715,0.000157575
ssl_age_score,8.19E-05,0.000109043
subdomain_depth,6.02E-05,8.57E-05
has_https,4.64E-05,0
ssl_valid,2.51E-05,0
domain_age_score,0,0
